,state,date,precipitation,region
395,RR,2011-01-31 00:00:00,"25,4",brazil
396,RR,2011-02-28 00:00:00,"55,4",brazil
397,RR,2011-03-31 00:00:00,"143,9",brazil
398,RR,2011-04-30 00:00:00,"15,7",brazil
399,RR,2011-05-31 00:00:00,"667,5",brazil
400,RR,2011-06-30 00:00:00,"398,9",brazil
401,RR,2011-07-31 00:00:00,"348,4",brazil
402,RR,2011-08-31 00:00:00,"303,2",brazil
403,RR,2011-09-30 00:00:00,"62,7",brazil
404,RR,2011-10-31 00:00:00,"86,4",brazil
405,RR,2011-11-30 00:00:00,"97,6",brazil
406,RR,2011-12-31 00:00:00,"33,7",brazil
407,RR,2012-01-31 00:00:00,"33,6",brazil
408,RR,2012-02-29 00:00:00,"16,8",brazil
409,RR,2012-03-31 00:00:00,"46,6",brazil
410,RR,2012-04-30 00:00:00,"246,9",brazil
411,RR,2012-05-31 00:00:00,"303,7",brazil
412,RR,2012-06-30 00:00:00,"105,4",brazil
413,RR,2012-07-31 00:00:00,"342,8",brazil
414,RR,2012-08-31 00:00:00,"308,6",brazil
415,RR,2012-09-30 00:00:00,"59,9",brazil
416,RR,2012-10-31 00:00:00,"35,6",brazil
417,RR,2012-11-30 00:00:00,"13,8",brazil
418,RR,2012-12-31 00:00:00,"46,2",brazil
419,RR,2013-01-31 00:00:00,0,brazil
420,RR,2013-02-28 00:00:00,"78,4",brazil
421,RR,2013-03-31 00:00:00,"13,8",brazil
422,RR,2013-04-30 00:00:00,"168,6",brazil
423,RR,2013-05-31 00:00:00,314,brazil
424,RR,2013-06-30 00:00:00,"216,4",brazil
425,RR,2013-07-31 00:00:00,"253,7",brazil
426,RR,2013-08-31 00:00:00,"312,7",brazil
427,RR,2013-09-30 00:00:00,"74,2",brazil
428,RR,2013-10-31 00:00:00,"90,1",brazil
429,RR,2013-11-30 00:00:00,251,brazil
430,RR,2013-12-31 00:00:00,"77,8",brazil
431,RR,2014-01-31 00:00:00,"3,8",brazil
432,RR,2014-02-28 00:00:00,"19,2",brazil
433,RR,2014-03-31 00:00:00,22,brazil
434,RR,2014-04-30 00:00:00,"72,3",brazil
435,RR,2014-05-31 00:00:00,79,brazil
436,RR,2014-06-30 00:00:00,"371,9",brazil
437,RR,2014-07-31 00:00:00,"215,6",brazil
438,RR,2014-08-31 00:00:00,"195,1",brazil
439,RR,2014-09-30 00:00:00,"22,5",brazil
440,RR,2014-10-31 00:00:00,"121,8",brazil
441,RR,2014-11-30 00:00:00,"114,7",brazil
442,RR,2014-12-31 00:00:00,"30,3",brazil
443,RR,2015-01-31 00:00:00,"6,9",brazil
444,RR,2015-02-28 00:00:00,1,brazil
445,RR,2015-03-31 00:00:00,"7,7",brazil
446,RR,2015-04-30 00:00:00,"56,1",brazil
447,RR,2015-05-31 00:00:00,"335,2",brazil
448,RR,2015-06-30 00:00:00,248,brazil
449,RR,2015-07-31 00:00:00,"301,5",brazil
450,RR,2015-08-31 00:00:00,"263,7",brazil
451,RR,2015-09-30 00:00:00,"15,7",brazil
452,RR,2015-10-31 00:00:00,"44,4",brazil
453,RR,2015-11-30 00:00:00,19,brazil
454,RR,2015-12-31 00:00:00,"13,5",brazil
455,RR,2016-01-31 00:00:00,0,brazil
456,RR,2016-02-29 00:00:00,"28,5",brazil
457,RR,2016-03-31 00:00:00,"0,4",brazil
458,RR,2016-04-30 00:00:00,"155,5",brazil
459,RR,2016-05-31 00:00:00,"350,4",brazil
460,RR,2016-06-30 00:00:00,"352,8",brazil
461,RR,2016-07-31 00:00:00,"322,8",brazil
462,RR,2016-08-31 00:00:00,"106,7",brazil
463,RR,2016-09-30 00:00:00,143,brazil
464,RR,2016-10-31 00:00:00,"78,9",brazil
465,RR,2016-11-30 00:00:00,"47,9",brazil
466,RR,2016-12-31 00:00:00,"110,3",brazil
467,RR,2017-01-31 00:00:00,"20,2",brazil
468,RR,2017-02-28 00:00:00,"1,4",brazil
469,RR,2017-03-31 00:00:00,"119,4",brazil
470,RR,2017-04-30 00:00:00,129,brazil
471,RR,2017-05-31 00:00:00,"361,2",brazil
472,RR,2017-06-30 00:00:00,"243,5",brazil
473,RR,2017-07-31 00:00:00,"330,6",brazil
474,RR,2017-08-31 00:00:00,78,brazil
475,RR,2017-09-30 00:00:00,"104,7",brazil
476,RR,2017-10-31 00:00:00,"5,6",brazil
477,RR,2017-11-30 00:00:00,"1,1",brazil
478,SE,1998-01-31 00:00:00,"23,6",brazil
479,SE,1998-02-28 00:00:00,"21,4",brazil
480,SE,1998-03-31 00:00:00,"75,5",brazil
481,SE,1998-04-30 00:00:00,"53,2",brazil
482,SE,1998-05-31 00:00:00,"215,1",brazil
483,SE,1998-06-30 00:00:00,"377,9",brazil
484,SE,1998-07-31 00:00:00,"189,5",brazil
485,SE,1998-08-31 00:00:00,"120,4",brazil
486,SE,1998-09-30 00:00:00,"53,8",brazil
487,SE,1998-10-31 00:00:00,"6,4",brazil
488,SE,1998-11-30 00:00:00,"1,2",brazil
489,SE,1998-12-31 00:00:00,"17,9",brazil
490,SE,1999-01-31 00:00:00,"14,8",brazil
491,SE,1999-02-28 00:00:00,"42,7",brazil
492,SE,1999-03-31 00:00:00,"19,1",brazil
493,SE,1999-04-30 00:00:00,"112,5",brazil
494,SE,1999-05-31 00:00:00,"408,4",brazil
495,SE,1999-06-30 00:00:00,"182,8",brazil
496,SE,1999-07-31 00:00:00,"133,5",brazil
497,SE,1999-08-31 00:00:00,"122,6",brazil
498,SE,1999-09-30 00:00:00,"75,7",brazil
499,SE,1999-10-31 00:00:00,184,brazil
500,SE,1999-11-30 00:00:00,"180,9",brazil
501,SE,1999-12-31 00:00:00,"41,8",brazil
502,SE,2000-01-31 00:00:00,"64,2",brazil
503,SE,2000-02-29 00:00:00,"276,7",brazil
504,SE,2000-03-31 00:00:00,"75,7",brazil
505,SE,2000-04-30 00:00:00,"397,3",brazil
506,SE,2000-05-31 00:00:00,"84,6",brazil
507,SE,2000-06-30 00:00:00,"210,7",brazil
508,SE,2000-07-31 00:00:00,"98,9",brazil
509,SE,2000-08-31 00:00:00,"98,2",brazil
510,SE,2000-09-30 00:00:00,"98,6",brazil
511,SE,2000-10-31 00:00:00,"5,6",brazil
512,SE,2000-11-30 00:00:00,"67,6",brazil
513,SE,2000-12-31 00:00:00,"83,8",brazil
514,SE,2001-01-31 00:00:00,"24,6",brazil
515,SE,2001-02-28 00:00:00,"71,2",brazil
516,SE,2001-03-31 00:00:00,"73,1",brazil
517,SE,2001-04-30 00:00:00,"170,3",brazil
518,SE,2001-05-31 00:00:00,"101,3",brazil
519,SE,2001-06-30 00:00:00,"325,1",brazil
520,SE,2001-07-31 00:00:00,"228,2",brazil
521,SE,2001-08-31 00:00:00,"163,3",brazil
