,state,kg,date,region
417,SP,11099797,2020-02-01 00:00:00,brazil
418,RO,1230000,2020-02-01 00:00:00,brazil
419,ND,70000000,2020-04-01 00:00:00,brazil
420,AL,848183,2020-03-01 00:00:00,brazil
421,SP,3119338,2020-03-01 00:00:00,brazil
422,SP,32358,2020-04-01 00:00:00,brazil
423,SC,8105278,2020-01-01 00:00:00,brazil
424,TO,53695,2020-01-01 00:00:00,brazil
425,MT,1041,2020-04-01 00:00:00,brazil
426,PR,4613626,2020-01-01 00:00:00,brazil
427,RO,50000,2020-03-01 00:00:00,brazil
428,GO,416986636,2020-04-01 00:00:00,brazil
429,PA,18151223,2020-04-01 00:00:00,brazil
430,MT,23504340,2020-04-01 00:00:00,brazil
431,SP,5273830,2020-02-01 00:00:00,brazil
432,MG,142416559,2020-04-01 00:00:00,brazil
433,ND,96500000,2020-04-01 00:00:00,brazil
434,MT,45977552,2020-04-01 00:00:00,brazil
435,BA,54993845,2020-04-01 00:00:00,brazil
436,MT,51318310,2020-02-01 00:00:00,brazil
437,MT,29558561,2020-01-01 00:00:00,brazil
438,ND,180339153,2020-03-01 00:00:00,brazil
439,MT,83685544,2020-04-01 00:00:00,brazil
440,TO,250000,2020-01-01 00:00:00,brazil
441,GO,13045248,2020-03-01 00:00:00,brazil
442,MT,74437937,2020-03-01 00:00:00,brazil
443,ND,10000000,2020-02-01 00:00:00,brazil
444,MG,690150,2020-04-01 00:00:00,brazil
445,RS,292672,2020-01-01 00:00:00,brazil
446,MT,33000170,2020-03-01 00:00:00,brazil
447,MT,1125242,2020-04-01 00:00:00,brazil
448,MT,53000000,2020-03-01 00:00:00,brazil
449,SP,4560476,2020-03-01 00:00:00,brazil
450,MT,18699951,2020-01-01 00:00:00,brazil
451,ND,40000000,2020-03-01 00:00:00,brazil
452,MS,12683346,2020-03-01 00:00:00,brazil
453,MT,281411,2020-04-01 00:00:00,brazil
454,MA,24195000,2020-04-01 00:00:00,brazil
455,SC,272078,2020-03-01 00:00:00,brazil
456,PA,10693000,2020-04-01 00:00:00,brazil
457,MG,8500000,2020-03-01 00:00:00,brazil
458,MA,5000000,2020-04-01 00:00:00,brazil
459,GO,180772,2020-02-01 00:00:00,brazil
460,PI,10614,2020-03-01 00:00:00,brazil
461,MG,6000000,2020-02-01 00:00:00,brazil
462,TO,217860,2020-02-01 00:00:00,brazil
463,SP,744912,2020-01-01 00:00:00,brazil
464,SP,4073145,2020-03-01 00:00:00,brazil
465,MA,450000,2020-01-01 00:00:00,brazil
466,MG,30625051,2020-04-01 00:00:00,brazil
467,PR,2804931,2020-02-01 00:00:00,brazil
468,TO,3199910,2020-03-01 00:00:00,brazil
469,PR,25,2020-04-01 00:00:00,brazil
470,RS,2772816,2020-01-01 00:00:00,brazil
471,MT,102757335,2020-04-01 00:00:00,brazil
472,MT,131666970,2020-04-01 00:00:00,brazil
473,MS,247524844,2020-04-01 00:00:00,brazil
474,MT,57243920,2020-02-01 00:00:00,brazil
475,RS,418843628,2020-03-01 00:00:00,brazil
476,DF,14127423,2020-04-01 00:00:00,brazil
477,MT,30081489,2020-03-01 00:00:00,brazil
478,PA,59460580,2020-01-01 00:00:00,brazil
479,MG,18729043,2020-04-01 00:00:00,brazil
480,MT,23449370,2020-03-01 00:00:00,brazil
481,PI,54816,2020-01-01 00:00:00,brazil
482,MT,27065417,2020-03-01 00:00:00,brazil
483,SC,32418554,2020-03-01 00:00:00,brazil
484,MT,25924209,2020-02-01 00:00:00,brazil
485,GO,6924254,2020-04-01 00:00:00,brazil
486,SP,5401561,2020-01-01 00:00:00,brazil
487,MG,40344351,2020-04-01 00:00:00,brazil
488,RS,3949688,2020-04-01 00:00:00,brazil
